	L	s	dL	gs	utility
330	2.4	0.72	4.600000000000007	0.24	272.38076350484334
331	2.4	0.76	4.600000000000007	0.24	278.2185137735367
332	2.4	0.8	4.600000000000007	0.24	284.05626404223
333	2.4	0.84	4.600000000000007	0.24	284.05626404223
334	2.4	0.88	4.600000000000007	0.24	284.05626404223
335	2.4	0.92	4.600000000000007	0.36	284.05626404223
336	2.4	0.96	4.600000000000007	0.44	284.05626404223
337	2.4	1.0	4.600000000000007	0.56	284.05626404223
338	2.6	0.0	-2.6	0.0	66.52490745438625
339	2.6	0.04	2.220446049250313e-15	0.12	83.87113569151163
340	2.6	0.08	2.220446049250313e-15	0.12	101.21736392863698
341	2.6	0.12	2.220446049250313e-15	0.12	118.56359216576236
342	2.6	0.16	2.220446049250313e-15	0.12	135.90982040288773
343	2.6	0.2	2.220446049250313e-15	0.12	153.2560486400131
344	2.6	0.24	2.220446049250313e-15	0.12	170.60227687713848
345	2.6	0.28	2.220446049250313e-15	0.12	187.94850511426387
346	2.6	0.32	2.220446049250313e-15	0.12	205.2947333513892
347	2.6	0.36	2.220446049250313e-15	0.12	222.64096158851459
348	2.6	0.4	2.220446049250313e-15	0.12	239.98718982563997
349	2.6	0.44	1.4000000000000035	0.2	246.02002597804704
350	2.6	0.48	4.000000000000005	0.24	252.05286213045414
351	2.6	0.52	4.400000000000006	0.24	258.08569828286124
352	2.6	0.56	4.400000000000006	0.24	264.1185344352683
353	2.6	0.6	4.400000000000006	0.24	270.1513705876754
354	2.6	0.64	4.400000000000006	0.24	276.18420674008246
355	2.6	0.68	4.400000000000006	0.24	282.21704289248953
356	2.6	0.72	4.400000000000006	0.24	288.2498790448966
357	2.6	0.76	4.400000000000006	0.24	294.28271519730373
358	2.6	0.8	4.400000000000006	0.24	300.3155513497108
359	2.6	0.84	4.400000000000006	0.24	300.3155513497108
360	2.6	0.88	4.400000000000006	0.24	300.3155513497108
361	2.6	0.92	4.400000000000006	0.36	300.3155513497108
362	2.6	0.96	4.400000000000006	0.44	300.3155513497108
363	2.6	1.0	4.400000000000006	0.56	300.3155513497108
364	2.8	0.0	-2.8	0.0	70.34201148206569
365	2.8	0.04	2.6645352591003757e-15	0.12	88.70628712843877
366	2.8	0.08	2.6645352591003757e-15	0.12	107.07056277481186
367	2.8	0.12	2.6645352591003757e-15	0.12	125.43483842118496
368	2.8	0.16	2.6645352591003757e-15	0.12	143.79911406755804
369	2.8	0.2	2.6645352591003757e-15	0.12	162.16338971393117
370	2.8	0.24	2.6645352591003757e-15	0.12	180.52766536030424
371	2.8	0.28	2.6645352591003757e-15	0.12	198.89194100667734
372	2.8	0.32	2.6645352591003757e-15	0.12	217.25621665305042
373	2.8	0.36	2.6645352591003757e-15	0.12	235.62049229942352
